stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\gabri\source\repos\MyProject\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.06299] added dtor for sub_bitmap 000001926D3F3240, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06467] added dtor for sub_bitmap 000001926D3F3050, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06664] added dtor for sub_bitmap 000001926D3F1530, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07159] added dtor for sub_bitmap 000001926D3F1720, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07183] added dtor for sub_bitmap 000001926D3F1B00, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07220] added dtor for sub_bitmap 000001926D3F6AB0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07239] added dtor for sub_bitmap 000001926D3F5940, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07250] added dtor for sub_bitmap 000001926D3F6100, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07307] added dtor for sub_bitmap 000001926D3F62F0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07356] added dtor for sub_bitmap 000001926D3F66D0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07371] added dtor for sub_bitmap 000001926D3F68C0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07382] added dtor for sub_bitmap 000001926D3F6E90, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07389] added dtor for sub_bitmap 000001926D3F64E0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07397] added dtor for sub_bitmap 000001926D3F6CA0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07413] added dtor for sub_bitmap 000001926D3F5B30, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07423] added dtor for sub_bitmap 000001926D3F7080, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07445] added dtor for sub_bitmap 000001926D3F7270, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07501] added dtor for sub_bitmap 000001926D3F5560, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07539] added dtor for sub_bitmap 000001926D3F5F10, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07561] added dtor for sub_bitmap 000001926D3F5750, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07574] added dtor for sub_bitmap 000001926D3F5D20, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07597] added dtor for sub_bitmap 000001926D3F8AC0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07639] added dtor for sub_bitmap 000001926D3F8CB0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07660] added dtor for sub_bitmap 000001926D3F8300, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07677] added dtor for sub_bitmap 000001926D3F8110, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07773] added dtor for sub_bitmap 000001926D3F86E0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07824] added dtor for sub_bitmap 000001926D3F9090, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07837] added dtor for sub_bitmap 000001926D3F7950, func 00007FFE47831190
