stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\gabri\source\repos\MyProject\x64\Debug\allegro5.cfg r
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.17636] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.17649] Returning d3d_display: 0000024A5F5EA0A0
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.17656] al_display=0000024A5F5EA0A0
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.17663] al_display->vt=0000024A5F5FB470
dtor     D               dtor.c:196  _al_register_destructor          [   0.18164] added dtor for bitmap 0000024A65288EF0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.18261] added dtor for bitmap 0000024A652A2C10, func 00007FF948C91190
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.18597] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.18714] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.18728] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.18735] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.18742] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.18748] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.18755] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.18761] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.18767] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.18772] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.18779] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.18786] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.18793] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.18825] added dtor for bitmap 0000024A652BCC70, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.18874] added dtor for sub_bitmap 0000024A6530A920, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.18884] added dtor for sub_bitmap 0000024A6530AB10, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.18889] added dtor for sub_bitmap 0000024A6530AD00, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.18895] added dtor for sub_bitmap 0000024A6530AEF0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.18903] added dtor for sub_bitmap 0000024A6530B0E0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.18909] added dtor for sub_bitmap 0000024A6530B2D0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.18915] added dtor for sub_bitmap 0000024A6530B4C0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.18922] added dtor for sub_bitmap 0000024A6530B6B0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.18931] added dtor for sub_bitmap 0000024A6530B8A0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.18945] added dtor for sub_bitmap 0000024A6530BA90, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.18951] added dtor for sub_bitmap 0000024A6530BC80, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.18960] added dtor for sub_bitmap 0000024A6530BE70, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.18969] added dtor for sub_bitmap 0000024A6530CC50, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.18976] added dtor for sub_bitmap 0000024A6530CE40, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.18983] added dtor for sub_bitmap 0000024A6530CA60, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.18990] added dtor for sub_bitmap 0000024A6530C2A0, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.18997] added dtor for sub_bitmap 0000024A6530C870, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19004] added dtor for sub_bitmap 0000024A6530C490, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19010] added dtor for sub_bitmap 0000024A6530C680, func 00007FF948C91190
dtor     D               dtor.c:196  _al_register_destructor          [   0.19017] added dtor for sub_bitmap 0000024A6530C0B0, func 00007FF948C91190
